,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
32,"Amsterdam, Netherlands",within a day,100.0,69.0,t,Jordaan,1,"['email', 'phone', 'work_email']",t,"Amsterdam, North Holland, Netherlands",Entire rental unit,Entire home/apt,1.0,2,1125,t,0,62,12,1,4.94,4.94,4.87,4.98,4.94,5.0,4.68,f,346.82191780821915,346.82191780821915,100.51807317479508,1.0,2.0,0.55,0,0,0,0.0,0.0,1.5 baths,173.41095890410958,2.0,0.0,28.98261846022609
33,"Amsterdam, Netherlands",within an hour,100.0,92.0,t,Oud-Zuid,3,"['email', 'phone']",t,"Amsterdam, NH, Netherlands",Private room in loft,Private room,2.0,2,20,t,5,132,36,2,4.87,4.9,4.95,4.92,4.9,4.78,4.72,f,180.8082191780822,180.8082191780822,27.66988362339184,2.0,4.0,1.05,16,31,291,144.7123287671233,79.72602739726027,1 private bath,45.20205479452055,2.0,0.0,15.303443476836156
34,"Amsterdam, Netherlands",response not available,94.96734148204736,80.17012104128669,f,Hoofddorppleinbuurt,3,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Private room in rental unit,Private room,1.0,3,30,t,0,113,0,0,4.83,4.83,4.86,4.98,4.95,4.69,4.66,f,88.0,88.0,0.0,1.0,2.0,0.89,0,0,0,0.0,0.0,1 private bath,44.0,2.0,0.0,0.0
35,"Amsterdam, Netherlands",response not available,94.96734148204736,36.0,f,Bos en Lommer,1,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Entire condo,Entire home/apt,1.0,4,30,t,0,43,0,0,4.85,4.86,4.88,4.95,4.86,4.49,4.72,f,87.84931506849315,87.84931506849315,4.5200142008332085,1.0,2.0,0.33,0,0,0,0.0,0.0,1 bath,43.92465753424658,2.0,0.0,5.145190030575772
36,"Amsterdam, Netherlands",within a few hours,100.0,86.0,f,Grachtengordel,1,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,2.0,3,40,t,0,39,4,4,4.95,4.87,4.82,4.87,4.92,4.92,4.72,f,302.32876712328766,302.32876712328766,10.550838197160116,2.0,4.0,0.31,0,5,5,4.109589041095891,1.36986301369863,1 bath,75.58219178082192,2.0,0.0,3.4898558604109136
37,"Amsterdam, Netherlands",within a few hours,100.0,100.0,f,Museumkwartier,1,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,5.0,2,90,t,25,117,8,0,4.51,4.54,4.55,4.71,4.84,4.72,4.1,f,1043.972602739726,1043.972602739726,185.21401139373543,12.0,12.0,0.92,55,85,265,759.5890410958904,72.6027397260274,1.5 baths,86.99771689497716,1.0,0.0,17.74127126590039
38,"Amsterdam, Netherlands",within a day,60.0,18.0,f,Slotermeer-Noordoost,1,"['email', 'phone', 'work_email']",t,neighbourhood not available,Entire condo,Entire home/apt,1.0,4,21,t,17,4,1,0,4.75,4.75,4.75,4.75,4.75,4.0,4.75,f,131.15068493150685,131.15068493150685,8.912997104606445,2.0,4.0,0.1,36,57,261,94.10958904109589,71.5068493150685,1 bath,32.78767123287671,2.0,0.0,6.7959973745171345
39,"Amsterdam, Netherlands",within an hour,100.0,100.0,t,De Wallen,2,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Private room in rental unit,Private room,1.0,3,365,t,3,329,37,2,4.89,4.96,4.92,4.93,4.91,4.92,4.8,t,201.21917808219177,201.21917808219177,56.20582430794683,1.0,2.0,2.55,9,24,232,133.2821917808219,63.561643835616444,1 private bath,100.60958904109589,2.0,0.0,27.932637854722024
40,"Amsterdam, Netherlands",within an hour,100.0,100.0,t,De Wallen,2,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Private room in home,Private room,1.0,3,365,t,1,386,44,4,4.86,4.93,4.92,4.93,4.9,4.92,4.76,t,199.23287671232876,199.23287671232876,58.463457297950356,1.0,2.0,3.01,2,16,231,131.23561643835617,63.287671232876704,1 private bath,99.61643835616438,2.0,0.0,29.344282059614795
41,"Amsterdam, Netherlands",within a few hours,90.0,80.0,f,Oosterparkbuurt,1,"['email', 'phone']",t,neighbourhood not available,Private room in rental unit,Private room,1.0,3,1125,t,7,213,4,0,4.87,4.94,4.84,4.93,4.92,4.74,4.71,f,107.16438356164383,107.16438356164383,9.84357560704428,1.0,2.0,1.64,19,44,305,89.52054794520548,83.56164383561644,1 bath,53.582191780821915,2.0,0.0,9.185491746315128
42,"Amsterdam, Netherlands",within a few hours,100.0,96.0,t,De Wallen,1,"['email', 'phone']",t,neighbourhood not available,Private room in bed and breakfast,Private room,1.0,2,1125,t,3,192,64,3,4.76,4.77,4.66,4.87,4.83,4.89,4.59,f,154.5205479452055,154.5205479452055,3.646877292238606,2.0,2.0,1.51,8,26,263,111.20547945205479,72.05479452054794,1.5 baths,77.26027397260275,1.0,0.0,2.3601244887714383
43,"Amsterdam, Netherlands",response not available,94.96734148204736,100.0,f,Weesperbuurt en Plantage,2,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Boat,Entire home/apt,1.0,3,30,t,0,52,0,0,4.55,4.85,4.06,4.91,4.86,4.85,4.44,f,87.84931506849315,87.84931506849315,4.5200142008332085,1.0,2.0,0.4,0,0,0,0.0,0.0,1 bath,43.92465753424658,2.0,0.0,5.145190030575772
44,"Amsterdam, Netherlands",within a day,100.0,89.0,f,Grachtengordel,3,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,2.0,4,21,t,0,31,8,0,4.61,4.68,4.61,4.84,4.87,4.9,4.65,f,200.0,200.0,0.0,2.0,4.0,0.26,0,0,0,0.0,0.0,1.5 baths,50.0,2.0,0.0,0.0
45,Netherlands,response not available,94.96734148204736,80.17012104128669,f,host neighbourhood not available,2,"['email', 'phone']",t,"Amsterdam, Netherlands",Boat,Entire home/apt,10.0,2,30,t,10,102,3,0,4.88,4.81,4.7,4.85,4.87,4.57,4.53,f,1071.2328767123288,1071.2328767123288,113.00035502083017,1.944640753828033,16.0,0.84,31,59,298,870.5479452054794,81.64383561643835,2.5 baths,66.95205479452055,1.782319352428867,0.0,10.548626491714325
46,"Amsterdam, Netherlands",within a day,100.0,89.0,f,Grachtengordel,3,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,3,21,t,0,2,0,0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,f,125.0,125.0,0.0,1.0,2.0,0.02,0,0,0,0.0,0.0,0 baths,62.5,2.0,0.0,0.0
47,"Amsterdam, Netherlands",within a day,100.0,89.0,f,Grachtengordel,3,"['email', 'phone']",t,neighbourhood not available,Private room in rental unit,Private room,1.0,3,10,t,0,35,0,0,4.77,4.71,4.71,4.94,4.91,4.91,4.69,f,95.0,95.0,0.0,1.0,2.0,0.34,0,0,0,0.0,0.0,Private half-bath,47.5,2.0,0.0,0.0
48,"Amsterdam, Netherlands",within a few hours,100.0,73.0,f,Jordaan,1,"['email', 'phone', 'work_email']",f,"Amsterdam, North Holland, Netherlands",Entire rental unit,Entire home/apt,1.0,5,15,t,0,85,4,0,4.75,4.72,4.79,4.89,4.92,4.93,4.59,f,282.67123287671234,282.67123287671234,26.312813279970815,1.0,2.0,0.67,19,49,324,256.1095890410959,88.76712328767124,1 bath,141.33561643835617,2.0,0.0,9.308627911014632
49,"Amsterdam, Netherlands",within an hour,100.0,86.0,t,De Pijp,3,"['email', 'phone']",t,"De Pijp, North Holland, Netherlands",Entire rental unit,Entire home/apt,1.0,1,90,t,1,453,64,9,4.75,4.83,4.69,4.86,4.78,4.85,4.63,f,262.2958904109589,262.2958904109589,14.251281399453834,2.0,4.0,3.6,4,25,92,65.85753424657534,25.205479452054796,1 bath,65.57397260273973,2.0,0.0,5.433284287117601
50,"Amsterdam, Netherlands",within an hour,100.0,100.0,f,De Pijp,6,['phone'],t,"Amsterdam, North Holland, Netherlands",Private room in home,Private room,1.0,2,30,t,0,541,6,0,4.94,4.91,4.91,4.98,4.99,4.91,4.84,t,239.24657534246575,239.24657534246575,22.600071004166033,6.0,4.0,4.24,0,0,0,0.0,0.0,1.5 baths,59.81164383561644,0.6666666666666666,0.0,9.446350892093447
51,"Amsterdam, Netherlands",response not available,94.96734148204736,80.17012104128669,f,Oud-West,1,"['email', 'phone']",t,neighbourhood not available,Entire loft,Entire home/apt,4.0,2,14,t,0,27,0,0,4.88,4.88,4.64,4.92,4.88,4.79,4.75,f,258.54794520547944,258.54794520547944,27.219317384866326,4.0,4.0,0.25,0,0,0,0.0,0.0,1 bath,64.63698630136986,1.0,0.0,10.527763956210883
52,"Amsterdam, Netherlands",within an hour,100.0,100.0,t,Oosterparkbuurt,3,"['email', 'phone']",t,"Watergraafsmeer, North Holland, Netherlands",Private room in townhouse,Private room,1.0,3,30,t,1,430,40,2,4.89,4.88,4.89,4.97,4.97,4.88,4.75,t,101.53972602739726,101.53972602739726,5.962030494474218,1.0,2.0,3.41,3,17,178,49.30684931506849,48.76712328767123,1 private bath,50.76986301369863,2.0,0.0,5.871623578012762
53,"Amsterdam, Netherlands",within an hour,100.0,50.0,f,Oost,3,"['email', 'phone']",t,"Amsterdam, Noord-Holland, Netherlands",Boat,Entire home/apt,3.0,7,365,t,0,4,1,1,4.33,5.0,4.67,5.0,5.0,5.0,4.33,f,395.0,395.0,0.0,3.0,4.0,0.05,8,8,257,278.1232876712329,70.41095890410959,1 bath,98.75,1.3333333333333333,0.0,0.0
54,"Amsterdam, Netherlands",within a few hours,100.0,63.0,t,Oud-West,1,"['email', 'phone', 'work_email']",t,"Amsterdam, North Holland, Netherlands",Entire townhouse,Entire home/apt,4.0,2,1125,t,0,113,20,5,4.87,4.89,4.82,4.93,4.97,4.96,4.75,f,243.66301369863012,243.66301369863012,11.048538101910697,4.0,4.0,0.89,3,5,17,11.580821917808219,4.657534246575342,1.5 baths,60.91575342465753,1.0,0.0,4.534351740217687
55,"Amsterdam, Netherlands",within an hour,100.0,99.0,t,Amsterdam Centrum,2,"['email', 'phone']",t,"Amsterdam, North Holland, Netherlands",Private room in loft,Private room,1.0,2,60,t,3,448,32,2,4.74,4.81,4.74,4.84,4.88,4.92,4.64,t,143.96986301369864,143.96986301369864,9.280232520822132,1.0,2.0,3.53,4,28,94,36.52876712328767,25.753424657534246,1.5 baths,71.98493150684932,2.0,0.0,6.445954956516924
56,"Amsterdam, Netherlands",within a day,60.0,28.0,f,Grachtengordel,1,"['email', 'phone']",t,"Amsterdam, Noord-Holland, Netherlands",Entire condo,Entire home/apt,1.0,5,30,t,6,13,2,0,5.0,4.92,4.85,4.92,5.0,5.0,4.77,f,182.7945205479452,182.7945205479452,12.219331315796635,1.0,2.0,0.15,17,32,32,16.34246575342466,8.767123287671232,1.5 baths,91.3972602739726,2.0,0.0,6.684736106513448
